ROWID,Country,State lgd code,State,YearCode,Year,Crop category,Season,Crop name,Area,Production,Yield
1,India,1,Jammu And Kashmir,2011,"Agriculture Year (Jul - Jun), 2011",Foodgrains,Kharif,Cereals,594.5928745,1042.57934,1710.753482
2,India,1,Jammu And Kashmir,2011,"Agriculture Year (Jul - Jun), 2011",Foodgrains,Kharif,Coarse Cereals,338.8053572,511.1672092,1472.00975
3,India,1,Jammu And Kashmir,2011,"Agriculture Year (Jul - Jun), 2011",Foodgrains,Kharif,Foodgrains,617.7159903,1053.614043,1664.14333
4,India,1,Jammu And Kashmir,2011,"Agriculture Year (Jul - Jun), 2011",Foodgrains,Kharif,Kulthi (Horse Gram),2.068396861,0.339529296,160.1553836
5,India,1,Jammu And Kashmir,2011,"Agriculture Year (Jul - Jun), 2011",Foodgrains,Kharif,Lovia,1.570810824,0.418557667,259.8677228
6,India,1,Jammu And Kashmir,2011,"Agriculture Year (Jul - Jun), 2011",Foodgrains,Kharif,Maize,306.390066,492.7077429,1568.962926
7,India,1,Jammu And Kashmir,2011,"Agriculture Year (Jul - Jun), 2011",Foodgrains,Kharif,Moong,1.463488345,0.84882324,565.8821601
8,India,1,Jammu And Kashmir,2011,"Agriculture Year (Jul - Jun), 2011",Foodgrains,Kharif,Moth,7.610139395,2.280114842,292.3493588
9,India,1,Jammu And Kashmir,2011,"Agriculture Year (Jul - Jun), 2011",Foodgrains,Kharif,Other Pulses,5.239288276,4.81097402,895.9885426
10,India,1,Jammu And Kashmir,2011,"Agriculture Year (Jul - Jun), 2011",Foodgrains,Kharif,Pulses,23.12311585,11.03470212,465.5990604
11,India,1,Jammu And Kashmir,2011,"Agriculture Year (Jul - Jun), 2011",Foodgrains,Kharif,Rajmash,5.170992153,2.335727399,440.7890303
12,India,1,Jammu And Kashmir,2011,"Agriculture Year (Jul - Jun), 2011",Foodgrains,Kharif,Rice,255.7875173,531.4121313,2026.983068
13,India,1,Jammu And Kashmir,2011,"Agriculture Year (Jul - Jun), 2011",Foodgrains,Kharif,Small Millets,13.94997091,7.541843272,527.4753477
14,India,1,Jammu And Kashmir,2011,"Agriculture Year (Jul - Jun), 2011",Foodgrains,Rabi,Barley,7.098894133,4.097767366,563.1893416
15,India,1,Jammu And Kashmir,2011,"Agriculture Year (Jul - Jun), 2011",Foodgrains,Rabi,Cereals,296.0578383,492.22967,1622.143165
16,India,1,Jammu And Kashmir,2011,"Agriculture Year (Jul - Jun), 2011",Foodgrains,Rabi,Coarse Cereals,7.098894133,4.097767366,563.1893416
17,India,1,Jammu And Kashmir,2011,"Agriculture Year (Jul - Jun), 2011",Foodgrains,Rabi,Foodgrains,298.2794136,494.074641,1616.096031
18,India,1,Jammu And Kashmir,2011,"Agriculture Year (Jul - Jun), 2011",Foodgrains,Rabi,Gram,0.100492866,0.058539534,568.3447232
19,India,1,Jammu And Kashmir,2011,"Agriculture Year (Jul - Jun), 2011",Foodgrains,Rabi,Masur,0.443924798,0.272208832,598.4594107
20,India,1,Jammu And Kashmir,2011,"Agriculture Year (Jul - Jun), 2011",Foodgrains,Rabi,others,1.462512686,1.38836261,926.1656723
21,India,1,Jammu And Kashmir,2011,"Agriculture Year (Jul - Jun), 2011",Foodgrains,Rabi,Peas,0.214644957,0.125859998,571.8600222
22,India,1,Jammu And Kashmir,2011,"Agriculture Year (Jul - Jun), 2011",Foodgrains,Rabi,Pulses,2.221575308,1.844970974,810.2642249
23,India,1,Jammu And Kashmir,2011,"Agriculture Year (Jul - Jun), 2011",Foodgrains,Rabi,Wheat,288.9589441,488.1319026,1648.15911
24,India,1,Jammu And Kashmir,2011,"Agriculture Year (Jul - Jun), 2011",Foodgrains,,Bajra,18.46532028,10.91762305,576.8583227
25,India,1,Jammu And Kashmir,2011,"Agriculture Year (Jul - Jun), 2011",Oilseeds and Commercial Crops,Kharif,Groundnut,0.004878294,,
26,India,1,Jammu And Kashmir,2011,"Agriculture Year (Jul - Jun), 2011",Oilseeds and Commercial Crops,Kharif,Nigerseed,0.007805271,0.003902636,
27,India,1,Jammu And Kashmir,2011,"Agriculture Year (Jul - Jun), 2011",Oilseeds and Commercial Crops,Kharif,Oilseed,4.24509186,1.863508493,428.2947425
28,India,1,Jammu And Kashmir,2011,"Agriculture Year (Jul - Jun), 2011",Oilseeds and Commercial Crops,Kharif,Rapeseed and Mustard,58.06146095,49.40736653,830.2359625
29,India,1,Jammu And Kashmir,2011,"Agriculture Year (Jul - Jun), 2011",Oilseeds and Commercial Crops,Kharif,Sesamum,4.240213565,1.863508493,428.7874502
30,India,1,Jammu And Kashmir,2011,"Agriculture Year (Jul - Jun), 2011",Oilseeds and Commercial Crops,Rabi,Oilseed,58.70246884,50.14886729,833.4946633
31,India,1,Jammu And Kashmir,2011,"Agriculture Year (Jul - Jun), 2011",Oilseeds and Commercial Crops,,Linseed,0.641007895,0.741500762,1128.615869
32,India,1,Jammu And Kashmir,2011,"Agriculture Year (Jul - Jun), 2011",Oilseeds and Commercial Crops,,Sugarcane,0.018537519,0.029269767,1540.513688
33,India,1,Jammu And Kashmir,2012,"Agriculture Year (Jul - Jun), 2012",Foodgrains,Kharif,Bajra,19.06437484,11.4054525,583.6976916
34,India,1,Jammu And Kashmir,2012,"Agriculture Year (Jul - Jun), 2012",Foodgrains,Kharif,Cereals,590.2238739,1315.5687,2174.677336
35,India,1,Jammu And Kashmir,2012,"Agriculture Year (Jul - Jun), 2012",Foodgrains,Kharif,Coarse Cereals,334.932967,517.4309393,1507.274941
36,India,1,Jammu And Kashmir,2012,"Agriculture Year (Jul - Jun), 2012",Foodgrains,Kharif,Foodgrains,614.2319124,1327.6376,2108.848655
37,India,1,Jammu And Kashmir,2012,"Agriculture Year (Jul - Jun), 2012",Foodgrains,Kharif,Kulthi (Horse Gram),2.146449573,0.375628675,170.5695666
38,India,1,Jammu And Kashmir,2012,"Agriculture Year (Jul - Jun), 2012",Foodgrains,Kharif,Lovia,1.629350358,0.463437976,277.5076357
39,India,1,Jammu And Kashmir,2012,"Agriculture Year (Jul - Jun), 2012",Foodgrains,Kharif,Maize,303.3421076,499.8300528,1607.636093
40,India,1,Jammu And Kashmir,2012,"Agriculture Year (Jul - Jun), 2012",Foodgrains,Kharif,Moong,1.522027879,0.809796884,519.1002917
41,India,1,Jammu And Kashmir,2012,"Agriculture Year (Jul - Jun), 2012",Foodgrains,Kharif,Moth,7.901861405,2.52012693,311.161038
42,India,1,Jammu And Kashmir,2012,"Agriculture Year (Jul - Jun), 2012",Foodgrains,Kharif,Other Pulses,5.440274008,5.317340987,953.6451051
43,India,1,Jammu And Kashmir,2012,"Agriculture Year (Jul - Jun), 2012",Foodgrains,Kharif,Pulses,24.00803847,12.06890055,490.4773866
44,India,1,Jammu And Kashmir,2012,"Agriculture Year (Jul - Jun), 2012",Foodgrains,Kharif,Ragi,7.336954904,3.629451096,482.6399187
45,India,1,Jammu And Kashmir,2012,"Agriculture Year (Jul - Jun), 2012",Foodgrains,Kharif,Rajmash,5.367099591,2.5825691,469.4724262
46,India,1,Jammu And Kashmir,2012,"Agriculture Year (Jul - Jun), 2012",Foodgrains,Kharif,Rice,255.2909069,798.1377605,3050.28534
47,India,1,Jammu And Kashmir,2012,"Agriculture Year (Jul - Jun), 2012",Foodgrains,Kharif,Small Millets,5.189529672,2.565982898,482.4184441
48,India,1,Jammu And Kashmir,2012,"Agriculture Year (Jul - Jun), 2012",Foodgrains,Rabi,Barley,11.63961064,6.780829333,568.3847252
49,India,1,Jammu And Kashmir,2012,"Agriculture Year (Jul - Jun), 2012",Foodgrains,Rabi,Cereals,294.5416643,457.9450164,1516.927134
50,India,1,Jammu And Kashmir,2012,"Agriculture Year (Jul - Jun), 2012",Foodgrains,Rabi,Coarse Cereals,11.63961064,6.780829333,568.3847252
51,India,1,Jammu And Kashmir,2012,"Agriculture Year (Jul - Jun), 2012",Foodgrains,Rabi,Foodgrains,296.596402,459.7012024,1512.195189
52,India,1,Jammu And Kashmir,2012,"Agriculture Year (Jul - Jun), 2012",Foodgrains,Rabi,Gram,0.161959377,0.087809301,528.9720084
53,India,1,Jammu And Kashmir,2012,"Agriculture Year (Jul - Jun), 2012",Foodgrains,Rabi,Masur,0.396117512,0.254646972,626.3261801
54,India,1,Jammu And Kashmir,2012,"Agriculture Year (Jul - Jun), 2012",Foodgrains,Rabi,others,1.305431604,1.296650674,969.2917468
55,India,1,Jammu And Kashmir,2012,"Agriculture Year (Jul - Jun), 2012",Foodgrains,Rabi,Peas,0.191229144,0.117079068,598.4877048
56,India,1,Jammu And Kashmir,2012,"Agriculture Year (Jul - Jun), 2012",Foodgrains,Rabi,Pulses,2.054737637,1.756186014,833.8966347
57,India,1,Jammu And Kashmir,2012,"Agriculture Year (Jul - Jun), 2012",Foodgrains,Rabi,Wheat,282.9020537,451.164187,1555.95349
58,India,1,Jammu And Kashmir,2012,"Agriculture Year (Jul - Jun), 2012",Oilseeds and Commercial Crops,Kharif,Groundnut,0,0,
59,India,1,Jammu And Kashmir,2012,"Agriculture Year (Jul - Jun), 2012",Oilseeds and Commercial Crops,Kharif,Oilseed,4.673406116,2.039127094,425.7053438
60,India,1,Jammu And Kashmir,2012,"Agriculture Year (Jul - Jun), 2012",Oilseeds and Commercial Crops,Kharif,Rapeseed and Mustard,58.40294156,47.73898982,797.5104118
61,India,1,Jammu And Kashmir,2012,"Agriculture Year (Jul - Jun), 2012",Oilseeds and Commercial Crops,Kharif,Sesamum,4.673406116,2.039127094,425.7053438
62,India,1,Jammu And Kashmir,2012,"Agriculture Year (Jul - Jun), 2012",Oilseeds and Commercial Crops,Rabi,Oilseed,58.56392528,47.83265307,796.8791605
63,India,1,Jammu And Kashmir,2012,"Agriculture Year (Jul - Jun), 2012",Oilseeds and Commercial Crops,,Linseed,0.160983718,0.093663254,567.655908
64,India,1,Jammu And Kashmir,2012,"Agriculture Year (Jul - Jun), 2012",Oilseeds and Commercial Crops,,Sugarcane,,0,0
65,India,1,Jammu And Kashmir,2013,"Agriculture Year (Jul - Jun), 2013",Foodgrains,Kharif,Bajra,13.76654703,8.185778144,580.1404392
66,India,1,Jammu And Kashmir,2013,"Agriculture Year (Jul - Jun), 2013",Foodgrains,Kharif,Cereals,583.5513427,1126.927003,1884.147581
67,India,1,Jammu And Kashmir,2013,"Agriculture Year (Jul - Jun), 2013",Foodgrains,Kharif,Coarse Cereals,318.6697089,530.943815,1625.570655
68,India,1,Jammu And Kashmir,2013,"Agriculture Year (Jul - Jun), 2013",Foodgrains,Kharif,Foodgrains,606.2061423,1138.135373,1831.77226
69,India,1,Jammu And Kashmir,2013,"Agriculture Year (Jul - Jun), 2013",Foodgrains,Kharif,Kulthi (Horse Gram),0.604908516,0.204888368,330.4654249
70,India,1,Jammu And Kashmir,2013,"Agriculture Year (Jul - Jun), 2013",Foodgrains,Kharif,Lovia,0.048782945,0.036099379,721.9875836
71,India,1,Jammu And Kashmir,2013,"Agriculture Year (Jul - Jun), 2013",Foodgrains,Kharif,Maize,291.4097993,517.6163145,1733.01314
72,India,1,Jammu And Kashmir,2013,"Agriculture Year (Jul - Jun), 2013",Foodgrains,Kharif,Moong,1.170790676,0.761013939,634.1782829
73,India,1,Jammu And Kashmir,2013,"Agriculture Year (Jul - Jun), 2013",Foodgrains,Kharif,Moth,2.683061966,1.834238726,666.9955456
74,India,1,Jammu And Kashmir,2013,"Agriculture Year (Jul - Jun), 2013",Foodgrains,Kharif,Other Pulses,2.17571934,1.190303854,533.7683475
75,India,1,Jammu And Kashmir,2013,"Agriculture Year (Jul - Jun), 2013",Foodgrains,Kharif,Pulses,22.65479958,11.20739375,482.6613832
76,India,1,Jammu And Kashmir,2013,"Agriculture Year (Jul - Jun), 2013",Foodgrains,Kharif,Ragi,8.517502169,2.790384445,319.6317085
77,India,1,Jammu And Kashmir,2013,"Agriculture Year (Jul - Jun), 2013",Foodgrains,Kharif,Rajmash,3.014785991,2.195232518,710.430904
78,India,1,Jammu And Kashmir,2013,"Agriculture Year (Jul - Jun), 2013",Foodgrains,Kharif,Rice,264.8816339,595.9831884,2195.232518
79,India,1,Jammu And Kashmir,2013,"Agriculture Year (Jul - Jun), 2013",Foodgrains,Kharif,Small Millets,4.975860374,2.351337941,461.046636
80,India,1,Jammu And Kashmir,2013,"Agriculture Year (Jul - Jun), 2013",Foodgrains,Kharif,Urad,12.95675015,4.985616962,375.4228112
81,India,1,Jammu And Kashmir,2013,"Agriculture Year (Jul - Jun), 2013",Foodgrains,Rabi,Barley,12.21524939,6.927178167,553.2893307
82,India,1,Jammu And Kashmir,2013,"Agriculture Year (Jul - Jun), 2013",Foodgrains,Rabi,Cereals,297.1759434,594.156755,1950.676786
83,India,1,Jammu And Kashmir,2013,"Agriculture Year (Jul - Jun), 2013",Foodgrains,Rabi,Coarse Cereals,12.21524939,6.927178167,553.2893307
84,India,1,Jammu And Kashmir,2013,"Agriculture Year (Jul - Jun), 2013",Foodgrains,Rabi,Foodgrains,299.771196,596.4593099,1941.283142
85,India,1,Jammu And Kashmir,2013,"Agriculture Year (Jul - Jun), 2013",Foodgrains,Rabi,Masur,0.429289915,0.331724025,753.9179723
86,India,1,Jammu And Kashmir,2013,"Agriculture Year (Jul - Jun), 2013",Foodgrains,Rabi,Others,0.165862012,0.273184491,1606.967767
87,India,1,Jammu And Kashmir,2013,"Agriculture Year (Jul - Jun), 2013",Foodgrains,Rabi,Peas,2.000100738,1.69764648,828.1197584
88,India,1,Jammu And Kashmir,2013,"Agriculture Year (Jul - Jun), 2013",Foodgrains,Rabi,Pulses,2.595252665,2.302554996,865.6221351
89,India,1,Jammu And Kashmir,2013,"Agriculture Year (Jul - Jun), 2013",Foodgrains,Rabi,Wheat,284.960694,587.2295768,2010.578339
90,India,1,Jammu And Kashmir,2013,"Agriculture Year (Jul - Jun), 2013",Oilseeds and Commercial Crops,Kharif,Groundnut,0.136592246,0.087809301,627.2091514
91,India,1,Jammu And Kashmir,2013,"Agriculture Year (Jul - Jun), 2013",Oilseeds and Commercial Crops,Kharif,Nigerseed,0,0,
92,India,1,Jammu And Kashmir,2013,"Agriculture Year (Jul - Jun), 2013",Oilseeds and Commercial Crops,Kharif,Oilseed,4.946590607,2.185475929,431.0607355
93,India,1,Jammu And Kashmir,2013,"Agriculture Year (Jul - Jun), 2013",Oilseeds and Commercial Crops,Kharif,Rapeseed and Mustard,58.87125783,55.05643154,912.4371759
94,India,1,Jammu And Kashmir,2013,"Agriculture Year (Jul - Jun), 2013",Oilseeds and Commercial Crops,Kharif,Sesamum,4.809998361,2.097666628,425.4897232
95,India,1,Jammu And Kashmir,2013,"Agriculture Year (Jul - Jun), 2013",Oilseeds and Commercial Crops,Rabi,Oilseed,59.1639555,55.20278038,910.3356067
96,India,1,Jammu And Kashmir,2013,"Agriculture Year (Jul - Jun), 2013",Oilseeds and Commercial Crops,,Linseed,0.292697669,0.146348835,487.8294484
97,India,1,Jammu And Kashmir,2013,"Agriculture Year (Jul - Jun), 2013",Oilseeds and Commercial Crops,,Sugarcane,0.019513178,0.019513178,975.6588968
98,India,1,Jammu And Kashmir,2014,"Agriculture Year (Jul - Jun), 2014",Foodgrains,Kharif,Bajra,15.41541057,9.161437041,579.837985
99,India,1,Jammu And Kashmir,2014,"Agriculture Year (Jul - Jun), 2014",Foodgrains,Kharif,Cereals,590.6736527,870.9999669,1438.693926
100,India,1,Jammu And Kashmir,2014,"Agriculture Year (Jul - Jun), 2014",Foodgrains,Kharif,Coarse Cereals,320.9820204,366.3599157,1113.589746
101,India,1,Jammu And Kashmir,2014,"Agriculture Year (Jul - Jun), 2014",Foodgrains,Kharif,Foodgrains,611.3381081,877.6227395,1400.633472
102,India,1,Jammu And Kashmir,2014,"Agriculture Year (Jul - Jun), 2014",Foodgrains,Kharif,Kulthi (Horse Gram),0.819553473,0.136592246,162.6101413
103,India,1,Jammu And Kashmir,2014,"Agriculture Year (Jul - Jun), 2014",Foodgrains,Kharif,Maize,291.5951745,351.1981765,1175.086502
104,India,1,Jammu And Kashmir,2014,"Agriculture Year (Jul - Jun), 2014",Foodgrains,Kharif,Moong,1.541541057,0.273184491,172.9013914
105,India,1,Jammu And Kashmir,2014,"Agriculture Year (Jul - Jun), 2014",Foodgrains,Kharif,Moth,1.804968959,0.263427902,142.3935133
106,India,1,Jammu And Kashmir,2014,"Agriculture Year (Jul - Jun), 2014",Foodgrains,Kharif,Other Pulses,0.604908516,0.456608364,736.465386
107,India,1,Jammu And Kashmir,2014,"Agriculture Year (Jul - Jun), 2014",Foodgrains,Kharif,Pulses,20.66445543,6.622772591,312.6898955
108,India,1,Jammu And Kashmir,2014,"Agriculture Year (Jul - Jun), 2014",Foodgrains,Kharif,Ragi,8.556528525,4.048984422,461.6856926
109,India,1,Jammu And Kashmir,2014,"Agriculture Year (Jul - Jun), 2014",Foodgrains,Kharif,Rajmash,3.151378237,1.278113155,395.7009057
110,India,1,Jammu And Kashmir,2014,"Agriculture Year (Jul - Jun), 2014",Foodgrains,Kharif,Rice,269.6916322,504.6400512,1825.62756
111,India,1,Jammu And Kashmir,2014,"Agriculture Year (Jul - Jun), 2014",Foodgrains,Kharif,Small Millets,5.414906877,1.951317794,351.58844
112,India,1,Jammu And Kashmir,2014,"Agriculture Year (Jul - Jun), 2014",Foodgrains,Kharif,Urad,12.74210519,4.214846434,322.7294255
113,India,1,Jammu And Kashmir,2014,"Agriculture Year (Jul - Jun), 2014",Foodgrains,Rabi,Barley,6.497888252,3.912392176,587.4461731
114,India,1,Jammu And Kashmir,2014,"Agriculture Year (Jul - Jun), 2014",Foodgrains,Rabi,Cereals,319.6551243,310.5814966,947.9638433
115,India,1,Jammu And Kashmir,2014,"Agriculture Year (Jul - Jun), 2014",Foodgrains,Rabi,Coarse Cereals,6.497888252,3.912392176,587.4461731
116,India,1,Jammu And Kashmir,2014,"Agriculture Year (Jul - Jun), 2014",Foodgrains,Rabi,Foodgrains,322.6503972,312.9621043,946.3627871
117,India,1,Jammu And Kashmir,2014,"Agriculture Year (Jul - Jun), 2014",Foodgrains,Rabi,Masur,0.048782945,0.029269767,585.3953381
118,India,1,Jammu And Kashmir,2014,"Agriculture Year (Jul - Jun), 2014",Foodgrains,Rabi,Others,0.800040295,0.507342626,618.7101867
119,India,1,Jammu And Kashmir,2014,"Agriculture Year (Jul - Jun), 2014",Foodgrains,Rabi,Peas,2.146449573,1.843995315,838.1797773
120,India,1,Jammu And Kashmir,2014,"Agriculture Year (Jul - Jun), 2014",Foodgrains,Rabi,Pulses,2.995272813,2.380607708,775.4419832
121,India,1,Jammu And Kashmir,2014,"Agriculture Year (Jul - Jun), 2014",Foodgrains,Rabi,Wheat,313.1572361,306.6691044,955.4451957
122,India,1,Jammu And Kashmir,2014,"Agriculture Year (Jul - Jun), 2014",Oilseeds and Commercial Crops,Kharif,Groundnut,0,0,
123,India,1,Jammu And Kashmir,2014,"Agriculture Year (Jul - Jun), 2014",Oilseeds and Commercial Crops,Kharif,Nigerseed,0,0,
124,India,1,Jammu And Kashmir,2014,"Agriculture Year (Jul - Jun), 2014",Oilseeds and Commercial Crops,Kharif,Oilseed,3.707503808,1.531784468,403.1012785
669,India,3,Punjab,2012,"Agriculture Year (Jul - Jun), 2012",Foodgrains,Kharif,Rice,2845,11374,3997.891
125,India,1,Jammu And Kashmir,2014,"Agriculture Year (Jul - Jun), 2014",Oilseeds and Commercial Crops,Kharif,Sesamum,3.707503808,1.531784468,403.1012785
126,India,1,Jammu And Kashmir,2014,"Agriculture Year (Jul - Jun), 2014",Oilseeds and Commercial Crops,Rabi,Linseed,0.126835657,0.117079068,900.6082875
127,India,1,Jammu And Kashmir,2014,"Agriculture Year (Jul - Jun), 2014",Oilseeds and Commercial Crops,Rabi,Oilseed,54.04174629,37.87507837,683.7895621
128,India,1,Jammu And Kashmir,2014,"Agriculture Year (Jul - Jun), 2014",Oilseeds and Commercial Crops,,Rapeseed and Mustard,53.91491064,37.7579993,683.2792925
129,India,1,Jammu And Kashmir,2014,"Agriculture Year (Jul - Jun), 2014",Oilseeds and Commercial Crops,,Sugarcane,1.278113155,1.912291438,1459.764255
130,India,1,Jammu And Kashmir,2015,"Agriculture Year (Jul - Jun), 2015",Foodgrains,Kharif,Bajra,8.862885418,5.229531687,575.696313
131,India,1,Jammu And Kashmir,2015,"Agriculture Year (Jul - Jun), 2015",Foodgrains,Kharif,Cereals,598.3930659,1148.988602,1873.386063
132,India,1,Jammu And Kashmir,2015,"Agriculture Year (Jul - Jun), 2015",Foodgrains,Kharif,Coarse Cereals,301.3049318,518.3607422,1678.508931
133,India,1,Jammu And Kashmir,2015,"Agriculture Year (Jul - Jun), 2015",Foodgrains,Kharif,Foodgrains,610.5653863,1156.433855,1847.93405
134,India,1,Jammu And Kashmir,2015,"Agriculture Year (Jul - Jun), 2015",Foodgrains,Kharif,Lovia,0.234158135,0.004878294,20.3259018
135,India,1,Jammu And Kashmir,2015,"Agriculture Year (Jul - Jun), 2015",Foodgrains,Kharif,Maize,286.6973668,510.8637793,1738.518783
136,India,1,Jammu And Kashmir,2015,"Agriculture Year (Jul - Jun), 2015",Foodgrains,Kharif,Moong,0.341480614,0,0
137,India,1,Jammu And Kashmir,2015,"Agriculture Year (Jul - Jun), 2015",Foodgrains,Kharif,Other Pulses,5.335878506,7.227681107,1321.66169
138,India,1,Jammu And Kashmir,2015,"Agriculture Year (Jul - Jun), 2015",Foodgrains,Kharif,Pulses,12.1723204,7.445253041,596.7266405
139,India,1,Jammu And Kashmir,2015,"Agriculture Year (Jul - Jun), 2015",Foodgrains,Kharif,Rajmash,6.260803141,0.211717981,32.99288125
140,India,1,Jammu And Kashmir,2015,"Agriculture Year (Jul - Jun), 2015",Foodgrains,Kharif,Rice,297.0881341,630.6278602,2071.028213
141,India,1,Jammu And Kashmir,2015,"Agriculture Year (Jul - Jun), 2015",Foodgrains,Kharif,Small Millets,5.744679584,2.267431276,385.0437836
142,India,1,Jammu And Kashmir,2015,"Agriculture Year (Jul - Jun), 2015",Foodgrains,Rabi,Barley,6.497888252,4.044106127,607.1642394
143,India,1,Jammu And Kashmir,2015,"Agriculture Year (Jul - Jun), 2015",Foodgrains,Rabi,Cereals,277.8110656,532.3360803,1869.537089
144,India,1,Jammu And Kashmir,2015,"Agriculture Year (Jul - Jun), 2015",Foodgrains,Rabi,Coarse Cereals,6.497888252,4.044106127,607.1642394
145,India,1,Jammu And Kashmir,2015,"Agriculture Year (Jul - Jun), 2015",Foodgrains,Rabi,Foodgrains,280.0414218,533.9820168,1860.382482
146,India,1,Jammu And Kashmir,2015,"Agriculture Year (Jul - Jun), 2015",Foodgrains,Rabi,Masur,0,0.029269767,0
147,India,1,Jammu And Kashmir,2015,"Agriculture Year (Jul - Jun), 2015",Foodgrains,Rabi,Others,2.230356238,1.616666792,707.2463533
148,India,1,Jammu And Kashmir,2015,"Agriculture Year (Jul - Jun), 2015",Foodgrains,Rabi,Pulses,2.230356238,1.645936559,720.049925
149,India,1,Jammu And Kashmir,2015,"Agriculture Year (Jul - Jun), 2015",Foodgrains,Rabi,Wheat,271.3131773,528.2919742,1899.770807
150,India,1,Jammu And Kashmir,2015,"Agriculture Year (Jul - Jun), 2015",Oilseeds and Commercial Crops,Kharif,Groundnut,0,0,
151,India,1,Jammu And Kashmir,2015,"Agriculture Year (Jul - Jun), 2015",Oilseeds and Commercial Crops,Kharif,Nigerseed,0,0,
152,India,1,Jammu And Kashmir,2015,"Agriculture Year (Jul - Jun), 2015",Oilseeds and Commercial Crops,Kharif,Oilseed,3.647988615,1.49470943,399.8923364
153,India,1,Jammu And Kashmir,2015,"Agriculture Year (Jul - Jun), 2015",Oilseeds and Commercial Crops,Kharif,Sesamum,3.647988615,1.49470943,399.8923364
154,India,1,Jammu And Kashmir,2015,"Agriculture Year (Jul - Jun), 2015",Oilseeds and Commercial Crops,Rabi,Linseed,0.160008059,0.140494881,856.6285114
155,India,1,Jammu And Kashmir,2015,"Agriculture Year (Jul - Jun), 2015",Oilseeds and Commercial Crops,Rabi,Oilseed,49.44541723,30.32347851,598.3423316
156,India,1,Jammu And Kashmir,2015,"Agriculture Year (Jul - Jun), 2015",Oilseeds and Commercial Crops,,Rapeseed and Mustard,49.28540917,30.18298363,597.503265
157,India,1,Jammu And Kashmir,2015,"Agriculture Year (Jul - Jun), 2015",Oilseeds and Commercial Crops,,Sugarcane,0.188302167,0.28294108,1463.488345
158,India,1,Jammu And Kashmir,2016,"Agriculture Year (Jul - Jun), 2016",Foodgrains,Kharif,Bajra,13.53141324,8.008208225,577.4173753
159,India,1,Jammu And Kashmir,2016,"Agriculture Year (Jul - Jun), 2016",Foodgrains,Kharif,Cereals,595.0436289,1101.426207,1805.944618
160,India,1,Jammu And Kashmir,2016,"Agriculture Year (Jul - Jun), 2016",Foodgrains,Kharif,Coarse Cereals,318.4999442,543.1415026,1663.801849
161,India,1,Jammu And Kashmir,2016,"Agriculture Year (Jul - Jun), 2016",Foodgrains,Kharif,Foodgrains,611.2356639,1109.815898,1771.496054
162,India,1,Jammu And Kashmir,2016,"Agriculture Year (Jul - Jun), 2016",Foodgrains,Kharif,Kulthi (Horse Gram),0.7785758,0.273184491,342.3362667
163,India,1,Jammu And Kashmir,2016,"Agriculture Year (Jul - Jun), 2016",Foodgrains,Kharif,Lovia,0.249768678,0.049758604,194.3697898
164,India,1,Jammu And Kashmir,2016,"Agriculture Year (Jul - Jun), 2016",Foodgrains,Kharif,Maize,287.9891392,527.9485422,1788.601305
165,India,1,Jammu And Kashmir,2016,"Agriculture Year (Jul - Jun), 2016",Foodgrains,Kharif,Moong,0.786381071,0.446851775,554.4064602
166,India,1,Jammu And Kashmir,2016,"Agriculture Year (Jul - Jun), 2016",Foodgrains,Kharif,Moth,1.082981375,0.790283706,711.9675667
167,India,1,Jammu And Kashmir,2016,"Agriculture Year (Jul - Jun), 2016",Foodgrains,Kharif,Other Pulses,9.919524003,4.380708446,430.8753603
168,India,1,Jammu And Kashmir,2016,"Agriculture Year (Jul - Jun), 2016",Foodgrains,Kharif,Pulses,16.19203505,8.389690853,505.5249738
169,India,1,Jammu And Kashmir,2016,"Agriculture Year (Jul - Jun), 2016",Foodgrains,Kharif,Ragi,8.097968843,3.512372028,423.1774116
170,India,1,Jammu And Kashmir,2016,"Agriculture Year (Jul - Jun), 2016",Foodgrains,Kharif,Rajmash,3.374804124,2.448903831,707.9800488
171,India,1,Jammu And Kashmir,2016,"Agriculture Year (Jul - Jun), 2016",Foodgrains,Kharif,Rice,276.5436847,558.2847043,1969.653351
172,India,1,Jammu And Kashmir,2016,"Agriculture Year (Jul - Jun), 2016",Foodgrains,Kharif,Small Millets,8.881422937,3.672380087,403.4251972
173,India,1,Jammu And Kashmir,2016,"Agriculture Year (Jul - Jun), 2016",Foodgrains,Rabi,Barley,6.595454142,4.16508783,616.1373742
174,India,1,Jammu And Kashmir,2016,"Agriculture Year (Jul - Jun), 2016",Foodgrains,Rabi,Cereals,289.8302075,468.1035768,1575.782782
175,India,1,Jammu And Kashmir,2016,"Agriculture Year (Jul - Jun), 2016",Foodgrains,Rabi,Coarse Cereals,6.595454142,4.16508783,616.1373742
176,India,1,Jammu And Kashmir,2016,"Agriculture Year (Jul - Jun), 2016",Foodgrains,Rabi,Foodgrains,292.0703204,469.6412152,1568.833163
177,India,1,Jammu And Kashmir,2016,"Agriculture Year (Jul - Jun), 2016",Foodgrains,Rabi,Masur,0.058539534,0.029269767,487.8294484
178,India,1,Jammu And Kashmir,2016,"Agriculture Year (Jul - Jun), 2016",Foodgrains,Rabi,Others,0.641007895,0.352212862,536.092367
179,India,1,Jammu And Kashmir,2016,"Agriculture Year (Jul - Jun), 2016",Foodgrains,Rabi,Peas,1.540565398,1.156155793,732.2076106
